,state,county,candidate,party,total_votes,won,votes,DEM_fraction
30100,Colorado,Adams County,Joe Biden,DEM,134202,True,236735,0.5668870255771221
30340,Colorado,Alamosa County,Joe Biden,DEM,3759,False,7808,0.48142930327868855
30580,Colorado,Arapahoe County,Joe Biden,DEM,213607,True,350183,0.60998677834161
30819,Colorado,Archuleta County,Joe Biden,DEM,3738,False,9144,0.40879265091863515
31057,Colorado,Baca County,Joe Biden,DEM,317,False,2225,0.14247191011235955
31186,Colorado,Bent County,Joe Biden,DEM,732,False,2274,0.32189973614775724
31206,Colorado,Boulder County,Joe Biden,DEM,159089,True,206111,0.7718607934559534
31164,Colorado,Broomfield County,Joe Biden,DEM,29077,True,46632,0.6235417738891749
31228,Colorado,Chaffee County,Joe Biden,DEM,7160,True,13717,0.521980024786761
31251,Colorado,Cheyenne County,Joe Biden,DEM,131,False,1136,0.1153169014084507
29883,Colorado,Clear Creek County,Joe Biden,DEM,3604,True,6548,0.550397067806964
29906,Colorado,Conejos County,Joe Biden,DEM,1959,False,4333,0.45211170090006925
29927,Colorado,Costilla County,Joe Biden,DEM,1311,True,2094,0.6260744985673352
29950,Colorado,Crowley County,Joe Biden,DEM,437,False,1750,0.24971428571428572
29971,Colorado,Custer County,Joe Biden,DEM,1112,False,3634,0.30599889928453494
29992,Colorado,Delta County,Joe Biden,DEM,5887,False,19370,0.3039235931853381
30013,Colorado,Denver County,Joe Biden,DEM,313293,True,393827,0.7955091956620547
30036,Colorado,Dolores County,Joe Biden,DEM,341,False,1449,0.23533471359558317
30057,Colorado,Douglas County,Joe Biden,DEM,104653,False,231599,0.45187155384954164
30078,Colorado,Eagle County,Joe Biden,DEM,18588,True,29140,0.6378860672614962
30144,Colorado,El Paso County,Joe Biden,DEM,161941,False,378849,0.42745526581830756
30123,Colorado,Elbert County,Joe Biden,DEM,4490,False,18983,0.23652741926987306
30166,Colorado,Fremont County,Joe Biden,DEM,7369,False,25557,0.2883358766678405
30187,Colorado,Garfield County,Joe Biden,DEM,15427,True,30904,0.4991910432306498
30209,Colorado,Gilpin County,Joe Biden,DEM,2223,True,4186,0.531055900621118
30231,Colorado,Grand County,Joe Biden,DEM,4710,False,9870,0.47720364741641336
30252,Colorado,Gunnison County,Joe Biden,DEM,7132,True,11190,0.6373547810545129
30275,Colorado,Hinsdale County,Joe Biden,DEM,255,False,632,0.40348101265822783
30296,Colorado,Huerfano County,Joe Biden,DEM,2076,False,4406,0.4711756695415343
30318,Colorado,Jackson County,Joe Biden,DEM,175,False,876,0.1997716894977169
30361,Colorado,Jefferson County,Joe Biden,DEM,218396,True,377357,0.5787516860691599
30384,Colorado,Kiowa County,Joe Biden,DEM,98,False,903,0.10852713178294573
30406,Colorado,Kit Carson County,Joe Biden,DEM,662,False,3871,0.17101524153965383
30448,Colorado,La Plata County,Joe Biden,DEM,20548,True,35667,0.5761067653573331
30427,Colorado,Lake County,Joe Biden,DEM,2303,True,3961,0.5814188336278717
30470,Colorado,Larimer County,Joe Biden,DEM,126120,True,224338,0.5621874136347832
30493,Colorado,Las Animas County,Joe Biden,DEM,3497,False,7961,0.4392664238161035
30515,Colorado,Lincoln County,Joe Biden,DEM,470,False,2651,0.17729158807996984
30537,Colorado,Logan County,Joe Biden,DEM,2218,False,10532,0.21059627800987465
30559,Colorado,Mesa County,Joe Biden,DEM,31536,False,90622,0.34799496810928915
30603,Colorado,Mineral County,Joe Biden,DEM,317,False,756,0.4193121693121693
30624,Colorado,Moffat County,Joe Biden,DEM,1203,False,7026,0.17122117847993168
30646,Colorado,Montezuma County,Joe Biden,DEM,5836,False,15500,0.37651612903225806
30667,Colorado,Montrose County,Joe Biden,DEM,7687,False,24922,0.3084423401011155
30689,Colorado,Morgan County,Joe Biden,DEM,3876,False,13744,0.2820139697322468
30711,Colorado,Otero County,Joe Biden,DEM,3605,False,9576,0.37646198830409355
30732,Colorado,Ouray County,Joe Biden,DEM,2365,True,4020,0.5883084577114428
30754,Colorado,Park County,Joe Biden,DEM,4903,False,12290,0.3989422294548413
30775,Colorado,Phillips County,Joe Biden,DEM,486,False,2485,0.19557344064386317
30796,Colorado,Pitkin County,Joe Biden,DEM,8989,True,11957,0.7517772016392071
30840,Colorado,Prowers County,Joe Biden,DEM,1458,False,5561,0.2621830606006114
30861,Colorado,Pueblo County,Joe Biden,DEM,43772,True,88299,0.49572475339471567
30884,Colorado,Rio Blanco County,Joe Biden,DEM,561,False,3691,0.1519913302628014
30906,Colorado,Rio Grande County,Joe Biden,DEM,2495,False,6305,0.3957176843774782
30927,Colorado,Routt County,Joe Biden,DEM,10582,True,16876,0.62704432329936
30948,Colorado,Saguache County,Joe Biden,DEM,1884,True,3389,0.5559161994688698
30969,Colorado,San Juan County,Joe Biden,DEM,342,True,563,0.6074600355239786
30991,Colorado,San Miguel County,Joe Biden,DEM,3924,True,5147,0.7623858558383524
31013,Colorado,Sedgwick County,Joe Biden,DEM,301,False,1446,0.20816044260027664
31034,Colorado,Summit County,Joe Biden,DEM,12631,True,18479,0.6835326586936522
31079,Colorado,Teller County,Joe Biden,DEM,5278,False,16939,0.3115886415963162
31100,Colorado,Washington County,Joe Biden,DEM,369,False,3008,0.12267287234042554
31122,Colorado,Weld County,Joe Biden,DEM,66060,False,166968,0.39564467442863305
31143,Colorado,Yuma County,Joe Biden,DEM,785,False,4981,0.15759887572776551
31672,Connecticut,Andover,Joe Biden,DEM,1058,True,2091,0.5059780009564802
31727,Connecticut,Ansonia,Joe Biden,DEM,4521,True,8419,0.5369996436631429
31782,Connecticut,Ashford,Joe Biden,DEM,1330,True,2544,0.5227987421383647
31837,Connecticut,Avon,Joe Biden,DEM,7299,True,11987,0.6089096521231334
31893,Connecticut,Barkhamsted,Joe Biden,DEM,1154,False,2442,0.4725634725634726
31948,Connecticut,Beacon Falls,Joe Biden,DEM,1543,False,3803,0.4057323165921641
32003,Connecticut,Berlin,Joe Biden,DEM,6008,False,12873,0.4667132758486755
32057,Connecticut,Bethany,Joe Biden,DEM,1912,True,3698,0.5170362358031368
32112,Connecticut,Bethel,Joe Biden,DEM,6270,True,11172,0.5612244897959183
31323,Connecticut,Bethlehem,Joe Biden,DEM,937,False,2367,0.39585973806506125
31377,Connecticut,Bloomfield,Joe Biden,DEM,11007,True,12821,0.8585133764916933
31432,Connecticut,Bolton,Joe Biden,DEM,1727,True,3288,0.5252433090024331
31488,Connecticut,Bozrah,Joe Biden,DEM,703,False,1548,0.4541343669250646
31542,Connecticut,Branford,Joe Biden,DEM,10562,True,17913,0.589627644727293
31597,Connecticut,Bridgeport,Joe Biden,DEM,33515,True,42188,0.7944202142789418
