,state,county,candidate,party,total_votes,won,votes,DEM_fraction
19190,Tennessee,Marion County,Joe Biden,DEM,3177,False,13256,0.23966505733252866
19200,Tennessee,Marshall County,Joe Biden,DEM,3605,False,14878,0.24230407312810862
19210,Tennessee,Maury County,Joe Biden,DEM,14418,False,46657,0.30902115438197914
19150,Tennessee,McMinn County,Joe Biden,DEM,4361,False,22844,0.19090351952372614
19160,Tennessee,McNairy County,Joe Biden,DEM,1943,False,11275,0.17232815964523282
19220,Tennessee,Meigs County,Joe Biden,DEM,1008,False,5532,0.1822125813449024
19230,Tennessee,Monroe County,Joe Biden,DEM,3764,False,20797,0.18098764244843007
19240,Tennessee,Montgomery County,Joe Biden,DEM,32472,False,76758,0.4230438521066208
19250,Tennessee,Moore County,Joe Biden,DEM,573,False,3539,0.16191014410850524
19260,Tennessee,Morgan County,Joe Biden,DEM,1167,False,8228,0.14183276616431698
19270,Tennessee,Obion County,Joe Biden,DEM,2589,False,13521,0.19147992012425116
19280,Tennessee,Overton County,Joe Biden,DEM,2033,False,10037,0.20255056291720633
19290,Tennessee,Perry County,Joe Biden,DEM,615,False,3428,0.1794049008168028
19300,Tennessee,Pickett County,Joe Biden,DEM,525,False,2931,0.17911975435005117
19310,Tennessee,Polk County,Joe Biden,DEM,1492,False,8360,0.1784688995215311
19320,Tennessee,Putnam County,Joe Biden,DEM,9185,False,33593,0.2734200577501265
19330,Tennessee,Rhea County,Joe Biden,DEM,2369,False,13637,0.17371855980054265
19340,Tennessee,Roane County,Joe Biden,DEM,6043,False,25917,0.23316741906856503
19350,Tennessee,Robertson County,Joe Biden,DEM,8692,False,33717,0.25779280481656136
19360,Tennessee,Rutherford County,Joe Biden,DEM,59341,False,143878,0.4124397058619108
19370,Tennessee,Scott County,Joe Biden,DEM,986,False,9052,0.10892620415377817
19380,Tennessee,Sequatchie County,Joe Biden,DEM,1298,False,7252,0.17898510755653613
19390,Tennessee,Sevier County,Joe Biden,DEM,8721,False,43535,0.20032158033765934
19399,Tennessee,Shelby County,Joe Biden,DEM,246105,True,382055,0.6441611809817959
19410,Tennessee,Smith County,Joe Biden,DEM,1802,False,9051,0.19909402275991603
19420,Tennessee,Stewart County,Joe Biden,DEM,1232,False,6296,0.19567979669631513
19430,Tennessee,Sullivan County,Joe Biden,DEM,17272,False,74357,0.23228478825127427
19440,Tennessee,Sumner County,Joe Biden,DEM,27680,False,92630,0.2988232753967397
19450,Tennessee,Tipton County,Joe Biden,DEM,6837,False,27308,0.25036619305697966
19460,Tennessee,Trousdale County,Joe Biden,DEM,1012,False,3998,0.2531265632816408
19470,Tennessee,Unicoi County,Joe Biden,DEM,1615,False,8307,0.19441434934392682
19480,Tennessee,Union County,Joe Biden,DEM,1249,False,8123,0.15376092576634248
19490,Tennessee,Van Buren County,Joe Biden,DEM,544,False,2921,0.1862375898664841
19500,Tennessee,Warren County,Joe Biden,DEM,4126,False,16692,0.24718427989456027
19509,Tennessee,Washington County,Joe Biden,DEM,18638,False,60203,0.30958590103483213
19519,Tennessee,Wayne County,Joe Biden,DEM,820,False,6669,0.12295696506222822
19529,Tennessee,Weakley County,Joe Biden,DEM,3020,False,13735,0.2198762286130324
19539,Tennessee,White County,Joe Biden,DEM,2143,False,11895,0.1801597309794031
19549,Tennessee,Williamson County,Joe Biden,DEM,50161,False,139016,0.36082896932727165
19559,Tennessee,Wilson County,Joe Biden,DEM,22254,False,74330,0.2993945916857258
19569,Texas,Anderson County,Joe Biden,DEM,3955,False,19227,0.20570031726218338
19574,Texas,Andrews County,Joe Biden,DEM,850,False,5863,0.14497697424526693
19579,Texas,Angelina County,Joe Biden,DEM,9143,False,34574,0.26444727251692024
19584,Texas,Aransas County,Joe Biden,DEM,2916,False,12290,0.2372660699755899
19589,Texas,Archer County,Joe Biden,DEM,446,False,4796,0.09299416180150125
19594,Texas,Armstrong County,Joe Biden,DEM,75,False,1112,0.06744604316546762
19599,Texas,Atascosa County,Joe Biden,DEM,5876,False,18118,0.3243183574345954
19604,Texas,Austin County,Joe Biden,DEM,2951,False,14554,0.20276212725024048
19609,Texas,Bailey County,Joe Biden,DEM,409,False,1860,0.21989247311827956
19614,Texas,Bandera County,Joe Biden,DEM,2505,False,12715,0.19701140385371607
19619,Texas,Bastrop County,Joe Biden,DEM,15474,False,36665,0.4220373653347879
19624,Texas,Baylor County,Joe Biden,DEM,183,False,1702,0.10752056404230317
19629,Texas,Bee County,Joe Biden,DEM,3288,False,9420,0.3490445859872611
19634,Texas,Bell County,Joe Biden,DEM,57014,False,127375,0.4476074582924436
19638,Texas,Bexar County,Joe Biden,DEM,448452,True,768952,0.5831989512999511
19644,Texas,Blanco County,Joe Biden,DEM,1911,False,7441,0.2568203198494826
19649,Texas,Borden County,Joe Biden,DEM,16,False,416,0.038461538461538464
19654,Texas,Bosque County,Joe Biden,DEM,1561,False,9126,0.1710497479728249
19659,Texas,Bowie County,Joe Biden,DEM,10747,False,38261,0.2808865424322417
19664,Texas,Brazoria County,Joe Biden,DEM,62228,False,154984,0.40151241418469
19669,Texas,Brazos County,Joe Biden,DEM,35349,False,85061,0.41557235395774794
19674,Texas,Brewster County,Joe Biden,DEM,2258,False,4822,0.4682704272086271
19679,Texas,Briscoe County,Joe Biden,DEM,78,False,725,0.10758620689655173
19683,Texas,Brooks County,Joe Biden,DEM,1470,True,2484,0.5917874396135265
19689,Texas,Brown County,Joe Biden,DEM,2107,False,15969,0.13194313983342726
19694,Texas,Burleson County,Joe Biden,DEM,1788,False,8609,0.20768962713439423
19699,Texas,Burnet County,Joe Biden,DEM,5639,False,24717,0.22814257393696646
19704,Texas,Caldwell County,Joe Biden,DEM,6672,False,14973,0.44560208375075133
19709,Texas,Calhoun County,Joe Biden,DEM,2148,False,7856,0.27342158859470467
19714,Texas,Callahan County,Joe Biden,DEM,734,False,6832,0.10743559718969554
19718,Texas,Cameron County,Joe Biden,DEM,64063,True,114174,0.5610997249811691
19724,Texas,Camp County,Joe Biden,DEM,1394,False,5060,0.2754940711462451
19729,Texas,Carson County,Joe Biden,DEM,297,False,3122,0.09513132607303011
19734,Texas,Cass County,Joe Biden,DEM,2795,False,13927,0.20068930853737343
19739,Texas,Castro County,Joe Biden,DEM,466,False,2083,0.22371579452712434
19743,Texas,Chambers County,Joe Biden,DEM,3997,False,21652,0.18460188435248476
19748,Texas,Cherokee County,Joe Biden,DEM,4210,False,19508,0.21580889891326635
19752,Texas,Childress County,Joe Biden,DEM,310,False,2279,0.13602457218078104
19756,Texas,Clay County,Joe Biden,DEM,614,False,5741,0.1069500087092841
19760,Texas,Cochran County,Joe Biden,DEM,177,False,1000,0.177
19764,Texas,Coke County,Joe Biden,DEM,178,False,1779,0.10005621135469364
19769,Texas,Coleman County,Joe Biden,DEM,451,False,4124,0.10935984481086324
19774,Texas,Collin County,Joe Biden,DEM,230945,False,492216,0.46919441871048484
19779,Texas,Collingsworth County,Joe Biden,DEM,155,False,1218,0.1272577996715928
19784,Texas,Colorado County,Joe Biden,DEM,2420,False,9975,0.24260651629072683
19789,Texas,Comal County,Joe Biden,DEM,24826,False,88863,0.27937386763894984
19793,Texas,Comanche County,Joe Biden,DEM,853,False,6086,0.14015773907328294
19798,Texas,Concho County,Joe Biden,DEM,197,False,1268,0.1553627760252366
19802,Texas,Cooke County,Joe Biden,DEM,3210,False,18988,0.16905413945649883
19806,Texas,Coryell County,Joe Biden,DEM,7565,False,23490,0.3220519369944657
19810,Texas,Cottle County,Joe Biden,DEM,113,False,662,0.17069486404833836
19815,Texas,Crane County,Joe Biden,DEM,241,False,1503,0.1603459747172322
19820,Texas,Crockett County,Joe Biden,DEM,344,False,1574,0.21855146124523506
19824,Texas,Crosby County,Joe Biden,DEM,527,False,1953,0.2698412698412698
19827,Texas,Culberson County,Joe Biden,DEM,438,True,864,0.5069444444444444
19832,Texas,Dallam County,Joe Biden,DEM,197,False,1609,0.12243629583592293
19835,Texas,Dallas County,Joe Biden,DEM,598576,True,921638,0.6494697484261717
19841,Texas,Dawson County,Joe Biden,DEM,808,False,3789,0.21324887833201372
19858,Texas,DeWitt County,Joe Biden,DEM,1494,False,8118,0.18403547671840353
19845,Texas,Deaf Smith County,Joe Biden,DEM,1264,False,4610,0.2741865509761388
19849,Texas,Delta County,Joe Biden,DEM,403,False,2592,0.1554783950617284
19853,Texas,Denton County,Joe Biden,DEM,188695,False,417964,0.45146232689896737
19863,Texas,Dickens County,Joe Biden,DEM,130,False,988,0.13157894736842105
19866,Texas,Dimmit County,Joe Biden,DEM,2264,True,3666,0.6175668303327878
19871,Texas,Donley County,Joe Biden,DEM,198,False,1648,0.12014563106796117
19874,Texas,Duval County,Joe Biden,DEM,2575,True,5053,0.5095982584603206
19879,Texas,Eastland County,Joe Biden,DEM,983,False,8292,0.11854799807042933
19883,Texas,Ector County,Joe Biden,DEM,11367,False,44581,0.25497409210201655
19887,Texas,Edwards County,Joe Biden,DEM,168,False,1066,0.1575984990619137
19895,Texas,El Paso County,Joe Biden,DEM,178126,True,267215,0.66660180004865
19891,Texas,Ellis County,Joe Biden,DEM,27565,False,85493,0.32242405811002073
19901,Texas,Erath County,Joe Biden,DEM,2916,False,16853,0.17302557408176586
19905,Texas,Falls County,Joe Biden,DEM,1899,False,6133,0.3096363932822436
19909,Texas,Fannin County,Joe Biden,DEM,2655,False,15004,0.1769528125833111
19913,Texas,Fayette County,Joe Biden,DEM,2661,False,12941,0.20562553125724442
19917,Texas,Fisher County,Joe Biden,DEM,352,False,1826,0.1927710843373494
19921,Texas,Floyd County,Joe Biden,DEM,438,False,2039,0.2148111819519372
19925,Texas,Foard County,Joe Biden,DEM,99,False,551,0.17967332123411978
19928,Texas,Fort Bend County,Joe Biden,DEM,195552,True,357514,0.5469771813131793
19934,Texas,Franklin County,Joe Biden,DEM,804,False,5009,0.16051108005589937
19938,Texas,Freestone County,Joe Biden,DEM,1635,False,8711,0.18769372058317071
19942,Texas,Frio County,Joe Biden,DEM,2422,False,5279,0.4587990149649555
19946,Texas,Gaines County,Joe Biden,DEM,576,False,5995,0.09608006672226856
19950,Texas,Galveston County,Joe Biden,DEM,58842,False,155060,0.3794789113891397
19955,Texas,Garza County,Joe Biden,DEM,231,False,1653,0.1397459165154265
19959,Texas,Gillespie County,Joe Biden,DEM,3176,False,15846,0.2004291303799066
19963,Texas,Glasscock County,Joe Biden,DEM,39,False,653,0.05972434915773354
19967,Texas,Goliad County,Joe Biden,DEM,877,False,3988,0.21990972918756269
19971,Texas,Gonzales County,Joe Biden,DEM,1948,False,7647,0.25474042108016215
19975,Texas,Gray County,Joe Biden,DEM,829,False,7782,0.10652788486250321
19979,Texas,Grayson County,Joe Biden,DEM,14506,False,59439,0.24404852033176871
19983,Texas,Gregg County,Joe Biden,DEM,14796,False,47982,0.30836563711391773
19988,Texas,Grimes County,Joe Biden,DEM,2833,False,12413,0.22822847015225972
19992,Texas,Guadalupe County,Joe Biden,DEM,28805,False,77592,0.3712367254356119
19996,Texas,Hale County,Joe Biden,DEM,2279,False,9584,0.23779215358931552
20000,Texas,Hall County,Joe Biden,DEM,168,False,1168,0.14383561643835616
20004,Texas,Hamilton County,Joe Biden,DEM,641,False,4349,0.14739020464474592
20008,Texas,Hansford County,Joe Biden,DEM,166,False,2047,0.0810942843185149
20013,Texas,Hardeman County,Joe Biden,DEM,241,False,1580,0.15253164556962026
20017,Texas,Hardin County,Joe Biden,DEM,3474,False,27635,0.12571015017188347
20020,Texas,Harris County,Joe Biden,DEM,918193,True,1640818,0.5595946655875301
20026,Texas,Harrison County,Joe Biden,DEM,7908,False,29710,0.2661730057219791
20030,Texas,Hartley County,Joe Biden,DEM,195,False,2078,0.09384023099133783
20034,Texas,Haskell County,Joe Biden,DEM,353,False,2214,0.15943992773261065
20037,Texas,Hays County,Joe Biden,DEM,59524,True,109357,0.5443090062821767
20042,Texas,Hemphill County,Joe Biden,DEM,206,False,1720,0.11976744186046512
20047,Texas,Henderson County,Joe Biden,DEM,7060,False,36310,0.19443679427155053
20050,Texas,Hidalgo County,Joe Biden,DEM,128199,True,220884,0.5803906122670723
20056,Texas,Hill County,Joe Biden,DEM,2860,False,14931,0.19154778648449536
20060,Texas,Hockley County,Joe Biden,DEM,1482,False,8095,0.18307597282273008
20064,Texas,Hood County,Joe Biden,DEM,5648,False,32541,0.1735656556344304
20069,Texas,Hopkins County,Joe Biden,DEM,3046,False,15939,0.19110358240793024
20073,Texas,Houston County,Joe Biden,DEM,2314,False,9437,0.24520504397583978
20077,Texas,Howard County,Joe Biden,DEM,2069,False,10240,0.20205078125
20081,Texas,Hudspeth County,Joe Biden,DEM,371,False,1165,0.3184549356223176
20085,Texas,Hunt County,Joe Biden,DEM,8906,False,38574,0.2308809042360139
20089,Texas,Hutchinson County,Joe Biden,DEM,965,False,8771,0.1100216622962034
20093,Texas,Irion County,Joe Biden,DEM,120,False,889,0.13498312710911137
20097,Texas,Jack County,Joe Biden,DEM,331,False,3782,0.08751983077736647
20101,Texas,Jackson County,Joe Biden,DEM,1033,False,6340,0.16293375394321766
20105,Texas,Jasper County,Joe Biden,DEM,2954,False,15608,0.18926191696565864
20109,Texas,Jeff Davis County,Joe Biden,DEM,501,False,1305,0.3839080459770115
20113,Texas,Jefferson County,Joe Biden,DEM,46073,False,94739,0.48631503393533815
20116,Texas,Jim Hogg County,Joe Biden,DEM,1197,True,2036,0.5879174852652259
20121,Texas,Jim Wells County,Joe Biden,DEM,6119,False,13669,0.44765527836710806
20125,Texas,Johnson County,Joe Biden,DEM,16464,False,72005,0.2286507881397125
20129,Texas,Jones County,Joe Biden,DEM,999,False,6741,0.14819759679572764
20133,Texas,Karnes County,Joe Biden,DEM,1234,False,5249,0.23509239855210518
20137,Texas,Kaufman County,Joe Biden,DEM,18405,False,56703,0.32458600074070154
20141,Texas,Kendall County,Joe Biden,DEM,6020,False,26438,0.22770254936076859
20145,Texas,Kenedy County,Joe Biden,DEM,65,False,194,0.33505154639175255
20149,Texas,Kent County,Joe Biden,DEM,47,False,462,0.10173160173160173
20153,Texas,Kerr County,Joe Biden,DEM,6524,False,27745,0.23514146693097857
20158,Texas,Kimble County,Joe Biden,DEM,284,False,2292,0.12390924956369982
20162,Texas,King County,Joe Biden,DEM,8,False,159,0.050314465408805034
20167,Texas,Kinney County,Joe Biden,DEM,446,False,1603,0.27822832189644414
20171,Texas,Kleberg County,Joe Biden,DEM,5314,False,10944,0.485562865497076
20176,Texas,Knox County,Joe Biden,DEM,265,False,1456,0.1820054945054945
20192,Texas,La Salle County,Joe Biden,DEM,1052,False,2406,0.4372402327514547
20180,Texas,Lamar County,Joe Biden,DEM,4458,False,21418,0.2081426837239705
20184,Texas,Lamb County,Joe Biden,DEM,840,False,4408,0.19056261343012704
20188,Texas,Lampasas County,Joe Biden,DEM,2144,False,10399,0.20617367054524474
20196,Texas,Lavaca County,Joe Biden,DEM,1333,False,10197,0.13072472295773266
20201,Texas,Lee County,Joe Biden,DEM,1750,False,8086,0.21642344793470195
20205,Texas,Leon County,Joe Biden,DEM,1072,False,8674,0.1235877334563062
20210,Texas,Liberty County,Joe Biden,DEM,5785,False,29334,0.19721142701302244
20214,Texas,Limestone County,Joe Biden,DEM,2213,False,9095,0.2433205057724024
20218,Texas,Lipscomb County,Joe Biden,DEM,131,False,1353,0.09682187730968218
20222,Texas,Live Oak County,Joe Biden,DEM,819,False,5054,0.16204986149584488
20226,Texas,Llano County,Joe Biden,DEM,2465,False,12660,0.19470774091627172
20231,Texas,Loving County,Joe Biden,DEM,4,False,66,0.06060606060606061
20235,Texas,Lubbock County,Joe Biden,DEM,40017,False,120771,0.33134610129915293
20239,Texas,Lynn County,Joe Biden,DEM,428,False,2293,0.18665503706934147
20256,Texas,Madison County,Joe Biden,DEM,1088,False,5297,0.2053992826127997
20260,Texas,Marion County,Joe Biden,DEM,1339,False,4864,0.2752878289473684
20264,Texas,Martin County,Joe Biden,DEM,288,False,2160,0.13333333333333333
20268,Texas,Mason County,Joe Biden,DEM,457,False,2474,0.1847210994341148
20273,Texas,Matagorda County,Joe Biden,DEM,3733,False,13726,0.27196561270581376
20276,Texas,Maverick County,Joe Biden,DEM,8332,True,15346,0.5429427863938485
20244,Texas,McCulloch County,Joe Biden,DEM,490,False,3436,0.14260768335273574
20248,Texas,McLennan County,Joe Biden,DEM,36688,False,97771,0.3752441930633828
20252,Texas,McMullen County,Joe Biden,DEM,53,False,516,0.10271317829457365
20281,Texas,Medina County,Joe Biden,DEM,6773,False,22644,0.2991079314608726
20285,Texas,Menard County,Joe Biden,DEM,197,False,1028,0.1916342412451362
20289,Texas,Midland County,Joe Biden,DEM,12329,False,58856,0.20947736849259208
20293,Texas,Milam County,Joe Biden,DEM,2496,False,10576,0.23600605143721634
20297,Texas,Mills County,Joe Biden,DEM,271,False,2505,0.10818363273453094
20301,Texas,Mitchell County,Joe Biden,DEM,397,False,2579,0.15393563396665375
20305,Texas,Montague County,Joe Biden,DEM,1097,False,9814,0.11177909109435501
20309,Texas,Montgomery County,Joe Biden,DEM,74377,False,271451,0.2739978854378875
20313,Texas,Moore County,Joe Biden,DEM,1062,False,5508,0.19281045751633988
20317,Texas,Morris County,Joe Biden,DEM,1669,False,5587,0.29872919276892784
20321,Texas,Motley County,Joe Biden,DEM,46,False,652,0.0705521472392638
20325,Texas,Nacogdoches County,Joe Biden,DEM,9000,False,26763,0.33628516982401074
20329,Texas,Navarro County,Joe Biden,DEM,5101,False,19121,0.2667747502745672
20333,Texas,Newton County,Joe Biden,DEM,1173,False,6094,0.19248441089596324
20338,Texas,Nolan County,Joe Biden,DEM,1162,False,5356,0.2169529499626587
20342,Texas,Nueces County,Joe Biden,DEM,60925,False,127314,0.4785412444821465
20346,Texas,Ochiltree County,Joe Biden,DEM,302,False,3156,0.09569074778200254
20351,Texas,Oldham County,Joe Biden,DEM,81,False,1009,0.0802775024777007
20355,Texas,Orange County,Joe Biden,DEM,6357,False,35994,0.17661276879479915
20360,Texas,Palo Pinto County,Joe Biden,DEM,2178,False,12485,0.17444933920704847
20364,Texas,Panola County,Joe Biden,DEM,2057,False,11451,0.17963496637848222
20369,Texas,Parker County,Joe Biden,DEM,13017,False,76128,0.17098833543505676
20374,Texas,Parmer County,Joe Biden,DEM,488,False,2650,0.18415094339622642
20378,Texas,Pecos County,Joe Biden,DEM,1382,False,4668,0.29605826906598115
20382,Texas,Polk County,Joe Biden,DEM,5387,False,24181,0.22277821430048386
20386,Texas,Potter County,Joe Biden,DEM,9921,False,33321,0.29774016386062846
20389,Texas,Presidio County,Joe Biden,DEM,1463,True,2217,0.6599007668019846
20395,Texas,Rains County,Joe Biden,DEM,842,False,6053,0.1391045762431852
20399,Texas,Randall County,Joe Biden,DEM,12802,False,64674,0.19794662460958035
20404,Texas,Reagan County,Joe Biden,DEM,172,False,1124,0.15302491103202848
20408,Texas,Real County,Joe Biden,DEM,320,False,1982,0.16145307769929365
20412,Texas,Red River County,Joe Biden,DEM,1246,False,5806,0.21460558043403377
20416,Texas,Reeves County,Joe Biden,DEM,1395,False,3687,0.37835638730675347
20420,Texas,Refugio County,Joe Biden,DEM,1108,False,3366,0.32917409387997626
20425,Texas,Roberts County,Joe Biden,DEM,17,False,550,0.03090909090909091
20429,Texas,Robertson County,Joe Biden,DEM,2374,False,8099,0.2931226077293493
20433,Texas,Rockwall County,Joe Biden,DEM,16412,False,53891,0.304540646861257
20438,Texas,Runnels County,Joe Biden,DEM,552,False,4409,0.12519845770015878
20442,Texas,Rusk County,Joe Biden,DEM,4629,False,21368,0.21663234743541745
20446,Texas,Sabine County,Joe Biden,DEM,669,False,5487,0.12192454893384364
20450,Texas,San Augustine County,Joe Biden,DEM,980,False,4002,0.2448775612193903
20454,Texas,San Jacinto County,Joe Biden,DEM,2337,False,12638,0.18491849976262068
20458,Texas,San Patricio County,Joe Biden,DEM,8988,False,25888,0.3471878862793572
20462,Texas,San Saba County,Joe Biden,DEM,287,False,2602,0.11029976940814758
20466,Texas,Schleicher County,Joe Biden,DEM,211,False,1159,0.182053494391717
20470,Texas,Scurry County,Joe Biden,DEM,818,False,5869,0.13937638439257113
20474,Texas,Shackelford County,Joe Biden,DEM,130,False,1628,0.07985257985257985
20479,Texas,Shelby County,Joe Biden,DEM,2068,False,10084,0.2050773502578342
20483,Texas,Sherman County,Joe Biden,DEM,91,False,991,0.09182643794147326
20487,Texas,Smith County,Joe Biden,DEM,29615,False,100075,0.29592805395953037
20491,Texas,Somervell County,Joe Biden,DEM,768,False,4947,0.15524560339599758
20495,Texas,Starr County,Joe Biden,DEM,9123,True,17525,0.5205706134094151
20500,Texas,Stephens County,Joe Biden,DEM,397,False,3800,0.10447368421052632
20504,Texas,Sterling County,Joe Biden,DEM,51,False,639,0.07981220657276995
20508,Texas,Stonewall County,Joe Biden,DEM,116,False,736,0.15760869565217392
20512,Texas,Sutton County,Joe Biden,DEM,322,False,1557,0.20680796403339757
20516,Texas,Swisher County,Joe Biden,DEM,478,False,2355,0.2029723991507431
20519,Texas,Tarrant County,Joe Biden,DEM,411567,True,834697,0.49307353446819624
20525,Texas,Taylor County,Joe Biden,DEM,14588,False,55112,0.2646973435912324
20529,Texas,Terrell County,Joe Biden,DEM,119,False,458,0.259825327510917
20533,Texas,Terry County,Joe Biden,DEM,757,False,3612,0.20957918050941307
20537,Texas,Throckmorton County,Joe Biden,DEM,82,False,899,0.09121245828698554
20542,Texas,Titus County,Joe Biden,DEM,2856,False,10539,0.2709934528892684
20546,Texas,Tom Green County,Joe Biden,DEM,12239,False,45210,0.2707144437071444
20550,Texas,Travis County,Joe Biden,DEM,435860,True,610349,0.7141160221447074
20556,Texas,Trinity County,Joe Biden,DEM,1323,False,6938,0.19068895935428076
20560,Texas,Tyler County,Joe Biden,DEM,1403,False,9660,0.14523809523809525
20564,Texas,Upshur County,Joe Biden,DEM,2877,False,18887,0.15232699740562292
20568,Texas,Upton County,Joe Biden,DEM,170,False,1368,0.12426900584795321
20572,Texas,Uvalde County,Joe Biden,DEM,4073,False,10342,0.3938309804679946
20576,Texas,Val Verde County,Joe Biden,DEM,6771,False,15272,0.4433603981141959
20580,Texas,Van Zandt County,Joe Biden,DEM,3516,False,25994,0.13526198353466184
20584,Texas,Victoria County,Joe Biden,DEM,10380,False,34188,0.3036153036153036
20589,Texas,Walker County,Joe Biden,DEM,7884,False,23612,0.33389801795697105
20594,Texas,Waller County,Joe Biden,DEM,8191,False,22734,0.3602973519838128
20598,Texas,Ward County,Joe Biden,DEM,764,False,4060,0.18817733990147784
20602,Texas,Washington County,Joe Biden,DEM,4261,False,17418,0.24463198989551038
20605,Texas,Webb County,Joe Biden,DEM,41820,True,68397,0.6114303258914865
20610,Texas,Wharton County,Joe Biden,DEM,4694,False,16761,0.2800548893264125
20614,Texas,Wheeler County,Joe Biden,DEM,168,False,2337,0.07188703465982028
20618,Texas,Wichita County,Joe Biden,DEM,13161,False,46030,0.2859222246361069
20622,Texas,Wilbarger County,Joe Biden,DEM,956,False,4524,0.21131741821396993
20625,Texas,Willacy County,Joe Biden,DEM,3108,True,5549,0.5601009190845198
20630,Texas,Williamson County,Joe Biden,DEM,143795,True,289312,0.49702397411790733
20635,Texas,Wilson County,Joe Biden,DEM,6350,False,25013,0.25386798864590415
20640,Texas,Winkler County,Joe Biden,DEM,358,False,2126,0.16839134524929444
20644,Texas,Wise County,Joe Biden,DEM,4973,False,32362,0.1536678820839256
20648,Texas,Wood County,Joe Biden,DEM,3509,False,22779,0.1540453926862461
20653,Texas,Yoakum County,Joe Biden,DEM,420,False,2631,0.15963511972633979
20658,Texas,Young County,Joe Biden,DEM,1034,False,8239,0.12550066755674233
20663,Texas,Zapata County,Joe Biden,DEM,1826,False,3874,0.47134744450180693
20666,Texas,Zavala County,Joe Biden,DEM,2864,True,4379,0.6540306005937429
20671,Utah,Beaver County,Joe Biden,DEM,357,False,3100,0.11516129032258064
20680,Utah,Box Elder County,Joe Biden,DEM,4473,False,27027,0.1655011655011655
20690,Utah,Cache County,Joe Biden,DEM,16650,False,57571,0.2892081082489448
20700,Utah,Carbon County,Joe Biden,DEM,2392,False,9369,0.255310065108336
20710,Utah,Daggett County,Joe Biden,DEM,111,False,619,0.17932148626817448
20719,Utah,Davis County,Joe Biden,DEM,57411,False,169895,0.33792048029665384
20729,Utah,Duchesne County,Joe Biden,DEM,843,False,8524,0.09889723134678555
20738,Utah,Emery County,Joe Biden,DEM,572,False,4865,0.11757451181911614
20748,Utah,Garfield County,Joe Biden,DEM,514,False,2732,0.18814055636896046
20756,Utah,Grand County,Joe Biden,DEM,2806,True,5185,0.5411764705882353
20767,Utah,Iron County,Joe Biden,DEM,4892,False,24890,0.196544797107272
20776,Utah,Juab County,Joe Biden,DEM,645,False,5866,0.10995567678145243
20786,Utah,Kane County,Joe Biden,DEM,1083,False,4180,0.2590909090909091
20796,Utah,Millard County,Joe Biden,DEM,624,False,6160,0.1012987012987013
20806,Utah,Morgan County,Joe Biden,DEM,1086,False,6512,0.16676904176904178
20815,Utah,Piute County,Joe Biden,DEM,86,False,871,0.09873708381171067
20824,Utah,Rich County,Joe Biden,DEM,180,False,1363,0.13206162876008803
20832,Utah,Salt Lake County,Joe Biden,DEM,289906,True,541175,0.5356973252644708
20843,Utah,San Juan County,Joe Biden,DEM,3113,False,6878,0.4526025007269555
20853,Utah,Sanpete County,Joe Biden,DEM,1794,False,12631,0.14203150977753148
20863,Utah,Sevier County,Joe Biden,DEM,1084,False,10363,0.10460291421403069
20872,Utah,Summit County,Joe Biden,DEM,15244,True,26088,0.5843299601349279
20883,Utah,Tooele County,Joe Biden,DEM,8943,False,31518,0.2837426232628974
20893,Utah,Uintah County,Joe Biden,DEM,1663,False,15307,0.10864310446201085
20903,Utah,Utah County,Joe Biden,DEM,76033,False,284480,0.2672701068616423
20913,Utah,Wasatch County,Joe Biden,DEM,6187,False,17581,0.3519139980660941
20923,Utah,Washington County,Joe Biden,DEM,20530,False,90476,0.22691100402316636
20933,Utah,Wayne County,Joe Biden,DEM,365,False,1621,0.22516964836520667
20942,Utah,Weber County,Joe Biden,DEM,40695,False,111442,0.3651675310924068
23371,Vermont,Addison,Joe Biden,DEM,445,True,870,0.5114942528735632
24647,Vermont,Albany,Joe Biden,DEM,286,True,540,0.5296296296296297
24889,Vermont,Alburgh,Joe Biden,DEM,550,True,1079,0.5097312326227988
25131,Vermont,Andover,Joe Biden,DEM,216,True,365,0.5917808219178082
25373,Vermont,Arlington,Joe Biden,DEM,929,True,1485,0.6255892255892256
25615,Vermont,Athens,Joe Biden,DEM,120,True,214,0.5607476635514018
25857,Vermont,Bakersfield,Joe Biden,DEM,395,True,696,0.5675287356321839
26100,Vermont,Baltimore,Joe Biden,DEM,63,False,143,0.4405594405594406
26341,Vermont,Barnard,Joe Biden,DEM,465,True,669,0.695067264573991
21171,Vermont,Barnet,Joe Biden,DEM,624,True,1095,0.5698630136986301
21413,Vermont,Barre,Joe Biden,DEM,2380,True,3807,0.625164171263462
21655,Vermont,Barre Town,Joe Biden,DEM,2512,True,4766,0.527066722618548
21897,Vermont,Barton,Joe Biden,DEM,687,True,1296,0.5300925925925926
22140,Vermont,Belvidere,Joe Biden,DEM,79,False,176,0.44886363636363635
22381,Vermont,Bennington,Joe Biden,DEM,4369,True,7096,0.6156989853438557
22624,Vermont,Benson,Joe Biden,DEM,258,False,583,0.4425385934819897
22866,Vermont,Berkshire,Joe Biden,DEM,284,False,711,0.39943741209563993
23107,Vermont,Berlin,Joe Biden,DEM,960,True,1534,0.6258148631029987
23349,Vermont,Bethel,Joe Biden,DEM,728,True,1147,0.6346992153443767
23614,Vermont,Bloomfield,Joe Biden,DEM,55,False,130,0.4230769230769231
